Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Constituency,District
Chinnappa K,DMK,4,Graduate Professional,73,"Rs 1,46,71,830 ~ 1 Crore+","Rs 29,95,179 ~ 29 Lacs+",Ariyalur,Ariyalur
Deva P,IND,0,12th Pass,40,"Rs 72,000 ~ 72 Thou+",Rs 0 ~,Ariyalur,Ariyalur
Durai.Manivel,Amma Makkal Munnettra Kazagam,1,8th Pass,61,"Rs 2,92,01,267 ~ 2 Crore+","Rs 2,24,50,000 ~ 2 Crore+",Ariyalur,Ariyalur
Jawahar P,Indiya Jananayaka Katchi,0,Doctorate,40,"Rs 43,84,239 ~ 43 Lacs+","Rs 31,00,000 ~ 31 Lacs+",Ariyalur,Ariyalur
Kumar J,IND,0,12th Pass,32,"Rs 15,00,274 ~ 15 Lacs+",Rs 0 ~,Ariyalur,Ariyalur
Manikannan M,IND,0,12th Pass,44,"Rs 7,81,000 ~ 7 Lacs+","Rs 4,70,000 ~ 4 Lacs+",Ariyalur,Ariyalur
Rajendran S,AIADMK,0,8th Pass,61,"Rs 1,07,81,933 ~ 1 Crore+",Rs 0 ~,Ariyalur,Ariyalur
Ramesh K,IND,0,Post Graduate,44,"Rs 12,49,583 ~ 12 Lacs+","Rs 3,15,238 ~ 3 Lacs+",Ariyalur,Ariyalur
Ravichandran S,IND,0,10th Pass,29,"Rs 4,99,707 ~ 4 Lacs+",Rs 0 ~,Ariyalur,Ariyalur
Savarianandham V,BSP,0,Graduate Professional,45,"Rs 10,300 ~ 10 Thou+",Rs 0 ~,Ariyalur,Ariyalur
Sivathasan V,IND,0,12th Pass,39,"Rs 20,000 ~ 20 Thou+",Rs 0 ~,Ariyalur,Ariyalur
Suguna Kumar,Naam Tamilar Katchi,0,10th Pass,34,"Rs 32,36,500 ~ 32 Lacs+",Rs 0 ~,Ariyalur,Ariyalur
Balu K,Pattali Makkal Katchi,0,Graduate Professional,50,"Rs 6,50,44,938 ~ 6 Crore+","Rs 1,66,12,865 ~ 1 Crore+",Jayankondam,Ariyalur
Kannan Ka So Ka,DMK,21,Post Graduate,43,"Rs 12,63,49,042 ~ 12 Crore+","Rs 19,89,236 ~ 19 Lacs+",Jayankondam,Ariyalur
Kesavarajan V K,IND,0,Graduate Professional,43,"Rs 56,97,436 ~ 56 Lacs+",Rs 0 ~,Jayankondam,Ariyalur
Mahalingam Neela,Naam Tamilar Katchi,0,Graduate,40,"Rs 56,24,000 ~ 56 Lacs+","Rs 24,68,498 ~ 24 Lacs+",Jayankondam,Ariyalur
Neelamegam K,BSP,0,12th Pass,57,"Rs 52,000 ~ 52 Thou+","Rs 50,000 ~ 50 Thou+",Jayankondam,Ariyalur
Rajkumar S,IND,0,12th Pass,46,"Rs 30,000 ~ 30 Thou+",Rs 0 ~,Jayankondam,Ariyalur
Samuvel Martin A,IND,0,Graduate,28,"Rs 70,000 ~ 70 Thou+",Rs 0 ~,Jayankondam,Ariyalur
Sathishkumar R,IND,0,Graduate,32,"Rs 50,60,681 ~ 50 Lacs+",Rs 0 ~,Jayankondam,Ariyalur
Sedhuraman R,IND,0,10th Pass,47,"Rs 35,000 ~ 35 Thou+",Rs 0 ~,Jayankondam,Ariyalur
Siva J K,Amma Makkal Munnettra Kazagam,0,Graduate,41,"Rs 2,09,37,500 ~ 2 Crore+","Rs 61,00,000 ~ 61 Lacs+",Jayankondam,Ariyalur
Sudarvizhi K,IND,0,Graduate Professional,42,"Rs 1,26,000 ~ 1 Lacs+",Rs 0 ~,Jayankondam,Ariyalur
Chellapppan.T,IND,0,10th Pass,40,"Rs 7,96,782 ~ 7 Lacs+",Rs 0 ~,Royapuram,Chennai
Dhanasekaran.G,IND,0,Graduate Professional,50,"Rs 71,14,780 ~ 71 Lacs+",Rs 0 ~,Royapuram,Chennai
Dinakaran.S,IND,0,Graduate Professional,47,"Rs 36,85,587 ~ 36 Lacs+",Rs 0 ~,Royapuram,Chennai
Gokul.G,IND,0,Post Graduate,30,"Rs 30,71,876 ~ 30 Lacs+","Rs 15,00,000 ~ 15 Lacs+",Royapuram,Chennai
Gunasekaran.S,Makkal Needhi Maiam,0,10th Pass,65,"Rs 50,94,662 ~ 50 Lacs+",Rs 0 ~,Royapuram,Chennai
James Martin.M,Tamil Nadu Ilangyar Katchi,0,Post Graduate,33,"Rs 17,97,949 ~ 17 Lacs+",Rs 0 ~,Royapuram,Chennai
Jayakumar.D,AIADMK,0,Graduate Professional,60,"Rs 1,79,02,919 ~ 1 Crore+","Rs 1,00,000 ~ 1 Lacs+",Royapuram,Chennai
Kalidass.K.R,IND,0,Graduate Professional,29,"Rs 2,52,365 ~ 2 Lacs+","Rs 8,79,257 ~ 8 Lacs+",Royapuram,Chennai
Kamali.S,Naam Tamilar Katchi,1,10th Pass,43,"Rs 1,40,800 ~ 1 Lacs+",Rs 0 ~,Royapuram,Chennai
Karthick.V,IND,0,Graduate Professional,26,"Rs 4,76,500 ~ 4 Lacs+",Rs 0 ~,Royapuram,Chennai
Karunakaran.H,IND,0,Graduate Professional,42,"Rs 7,03,344 ~ 7 Lacs+",Rs 0 ~,Royapuram,Chennai
Kumar.S,BSP,0,5th Pass,43,"Rs 4,08,500 ~ 4 Lacs+",Rs 0 ~,Royapuram,Chennai
Murthy.R.Idream,DMK,0,10th Pass,54,"Rs 1,12,19,58,217 ~ 112 Crore+","Rs 26,78,50,442 ~ 26 Crore+",Royapuram,Chennai
Murthy.T.C.S,IND,0,Graduate Professional,45,"Rs 36,40,000 ~ 36 Lacs+","Rs 5,50,000 ~ 5 Lacs+",Royapuram,Chennai
Prabhakaran.V,IND,0,10th Pass,40,"Rs 2,20,600 ~ 2 Lacs+",Rs 0 ~,Royapuram,Chennai
Prabhu.D,IND,0,Graduate Professional,32,"Rs 20,85,487 ~ 20 Lacs+",Rs 0 ~,Royapuram,Chennai
Prasath.K,IND,0,10th Pass,39,"Rs 11,18,956 ~ 11 Lacs+",Rs 0 ~,Royapuram,Chennai
Ramajayam.C,Amma Makkal Munnettra Kazagam,0,Graduate Professional,57,"Rs 75,77,500 ~ 75 Lacs+",Rs 0 ~,Royapuram,Chennai
Sathish.S,IND,0,Graduate Professional,41,"Rs 31,48,611 ~ 31 Lacs+","Rs 16,99,276 ~ 16 Lacs+",Royapuram,Chennai
Selvakumar.J,IND,0,10th Pass,44,"Rs 8,24,303 ~ 8 Lacs+",Rs 0 ~,Royapuram,Chennai
Subramani.S.N,IND,0,Post Graduate,50,"Rs 81,85,435 ~ 81 Lacs+",Rs 0 ~,Royapuram,Chennai
Sundarapandian.R,IND,0,8th Pass,38,"Rs 25,000 ~ 25 Thou+",Rs 0 ~,Royapuram,Chennai
Velu.G,IND,0,Post Graduate,48,"Rs 33,02,497 ~ 33 Lacs+","Rs 16,62,894 ~ 16 Lacs+",Royapuram,Chennai
Vindhan.A,IND,0,Post Graduate,36,"Rs 3,62,084 ~ 3 Lacs+",Rs 0 ~,Royapuram,Chennai
A.Chandran,MGR Makkal Katchi,0,10th Pass,61,Nil,Rs 0 ~,Velachery,Chennai
A.Tamil Azhagan,IND,0,10th Pass,32,"Rs 16,000 ~ 16 Thou+",Rs 0 ~,Velachery,Chennai
C.Velu,BSP,0,12th Pass,31,"Rs 1,90,000 ~ 1 Lacs+",Rs 0 ~,Velachery,Chennai
Dr. Santhosh Babu Ias (Retd),Makkal Needhi Maiam,0,Post Graduate,53,"Rs 4,34,03,016 ~ 4 Crore+","Rs 60,29,082 ~ 60 Lacs+",Velachery,Chennai
G.Yesudasan,IND,0,Post Graduate,69,"Rs 31,66,750 ~ 31 Lacs+",Rs 0 ~,Velachery,Chennai
Geetha,New Generation Peoples Party,1,8th Pass,48,"Rs 31,19,710 ~ 31 Lacs+",Rs 0 ~,Velachery,Chennai
J.Victor Paul,RPI(A),0,10th Pass,40,"Rs 1,50,000 ~ 1 Lacs+","Rs 40,000 ~ 40 Thou+",Velachery,Chennai
Jmh.Aassan Maulaana,INC,5,Post Graduate,36,"Rs 11,78,41,833 ~ 11 Crore+",Rs 0 ~,Velachery,Chennai
M.Chandrabose,Amma Makkal Munnettra Kazagam,0,Post Graduate,61,"Rs 20,53,139 ~ 20 Lacs+",Rs 0 ~,Velachery,Chennai
M.K.Ashok,AIADMK,0,Graduate,49,"Rs 8,40,59,587 ~ 8 Crore+","Rs 74,52,313 ~ 74 Lacs+",Velachery,Chennai
M.Keerthana,Naam Tamilar Katchi,0,Graduate Professional,28,"Rs 44,88,884 ~ 44 Lacs+",Rs 0 ~,Velachery,Chennai
M.Vignesh,IND,0,Graduate,29,"Rs 13,74,239 ~ 13 Lacs+",Rs 0 ~,Velachery,Chennai
Murali Balaji,IND,0,Post Graduate,30,"Rs 11,63,819 ~ 11 Lacs+",Rs 0 ~,Velachery,Chennai
N.Mahalakshmi,IND,0,Graduate Professional,57,"Rs 59,13,565 ~ 59 Lacs+",Rs 0 ~,Velachery,Chennai
R.Kanchana,Tamizhaga Murpokku Makkal Katchi,0,Post Graduate,45,"Rs 18,65,000 ~ 18 Lacs+","Rs 8,50,000 ~ 8 Lacs+",Velachery,Chennai
S.Gokul,IND,0,Graduate,31,"Rs 2,86,479 ~ 2 Lacs+",Rs 0 ~,Velachery,Chennai
S.Jothi Kannan,IND,1,10th Pass,32,"Rs 13,96,567 ~ 13 Lacs+",Rs 0 ~,Velachery,Chennai
V.Hariharan,IND,0,10th Pass,32,"Rs 19,33,000 ~ 19 Lacs+",Rs 0 ~,Velachery,Chennai
V.L.Revathi Jayakumari,Tamil Nadu Ilangyar Katchi,0,Post Graduate,50,"Rs 2,15,06,420 ~ 2 Crore+",Rs 0 ~,Velachery,Chennai
V.Sivaraman,IND,0,Graduate,69,"Rs 2,40,90,000 ~ 2 Crore+",Rs 0 ~,Velachery,Chennai
Dhanapalan N.R,AIADMK,4,Post Graduate,69,"Rs 34,31,00,405 ~ 34 Crore+","Rs 1,21,44,833 ~ 1 Crore+",Perambur,Chennai
Kadhiravan. M,IND,0,12th Pass,53,"Rs 8,95,000 ~ 8 Lacs+",Rs 0 ~,Perambur,Chennai
Lakshmi Narayanan. E,Amma Makkal Munnettra Kazagam,3,8th Pass,48,"Rs 65,94,790 ~ 65 Lacs+","Rs 8,92,282 ~ 8 Lacs+",Perambur,Chennai
Merlin Suganthi. S,Naam Tamilar Katchi,0,Others,35,"Rs 55,49,249 ~ 55 Lacs+","Rs 9,80,000 ~ 9 Lacs+",Perambur,Chennai
Parthipan. P,IND,0,Post Graduate,39,"Rs 66,24,150 ~ 66 Lacs+",Rs 0 ~,Perambur,Chennai
Ponnusamy. A,Makkal Needhi Maiam,0,8th Pass,46,"Rs 23,26,916 ~ 23 Lacs+","Rs 10,00,000 ~ 10 Lacs+",Perambur,Chennai
Prem Anand. J,IND,0,Post Graduate,32,"Rs 2,20,63,000 ~ 2 Crore+","Rs 1,15,00,000 ~ 1 Crore+",Perambur,Chennai
Rajesh Kumar. S,IND,0,10th Pass,46,"Rs 42,03,363 ~ 42 Lacs+",Rs 0 ~,Perambur,Chennai
Rajesh. K,IND,0,5th Pass,32,"Rs 48,250 ~ 48 Thou+",Rs 0 ~,Perambur,Chennai
Saravana Perumal. R,IND,0,Post Graduate,47,"Rs 79,000 ~ 79 Thou+",Rs 0 ~,Perambur,Chennai
Satheesh. J,IND,0,8th Pass,45,"Rs 11,05,258 ~ 11 Lacs+",Rs 0 ~,Perambur,Chennai
Sathishkumar. S,IND,0,8th Pass,31,"Rs 13,500 ~ 13 Thou+",Rs 0 ~,Perambur,Chennai
Sebastin. J,SUCI(C),0,10th Pass,44,"Rs 1,809 ~ 1 Thou+",Rs 0 ~,Perambur,Chennai
Sekar. P,IND,0,5th Pass,66,"Rs 40,200 ~ 40 Thou+",Rs 0 ~,Perambur,Chennai
Selvaraj. R,IND,0,10th Pass,49,"Rs 80,500 ~ 80 Thou+",Rs 0 ~,Perambur,Chennai
Shekar. R.D,DMK,9,Graduate Professional,54,"Rs 1,28,91,842 ~ 1 Crore+","Rs 39,96,800 ~ 39 Lacs+",Perambur,Chennai
Suresh. C,BSP,0,10th Pass,37,"Rs 13,98,950 ~ 13 Lacs+","Rs 5,33,000 ~ 5 Lacs+",Perambur,Chennai
Udayakumar. S,IND,0,10th Pass,48,"Rs 90,10,500 ~ 90 Lacs+",Rs 0 ~,Perambur,Chennai
Venkatesh. L,IND,0,12th Pass,45,"Rs 86,000 ~ 86 Thou+",Rs 0 ~,Perambur,Chennai
Vinothkumar. G,IND,0,8th Pass,30,"Rs 37,650 ~ 37 Thou+",Rs 0 ~,Perambur,Chennai
A.Jagadish Kumar,Makkal Needhi Maiam,1,12th Pass,31,"Rs 42,84,000 ~ 42 Lacs+",Rs 0 ~,Kolathur,Chennai
A.Seetha,Bahujan Dravida Party,0,12th Pass,47,"Rs 48,40,000 ~ 48 Lacs+","Rs 10,00,000 ~ 10 Lacs+",Kolathur,Chennai
Aadirajaram,AIADMK,0,Graduate Professional,62,"Rs 3,33,97,498 ~ 3 Crore+","Rs 8,00,000 ~ 8 Lacs+",Kolathur,Chennai
Agni Sri Ramachandran,IND,0,10th Pass,40,"Rs 6,00,000 ~ 6 Lacs+",Rs 0 ~,Kolathur,Chennai
Al. Naresh Kumar,IND,0,10th Pass,27,"Rs 2,20,000 ~ 2 Lacs+","Rs 1,65,000 ~ 1 Lacs+",Kolathur,Chennai
Ashok Kumar.S,New Generation Peoples Party,0,Post Graduate,41,"Rs 1,56,941 ~ 1 Lacs+","Rs 55,000 ~ 55 Thou+",Kolathur,Chennai
B.Vijaya Kumar,IND,0,Graduate Professional,38,"Rs 2,39,500 ~ 2 Lacs+",Rs 0 ~,Kolathur,Chennai
C.Jeevakumar,IND,0,Graduate Professional,34,"Rs 71,500 ~ 71 Thou+",Rs 0 ~,Kolathur,Chennai
D.Nilamani,IND,0,Illiterate,44,"Rs 1,88,580 ~ 1 Lacs+",Rs 0 ~,Kolathur,Chennai
D.Sureshbabu,Desiya Makkal Sakthi Katchi,0,Post Graduate,45,"Rs 2,85,10,742 ~ 2 Crore+","Rs 99,67,075 ~ 99 Lacs+",Kolathur,Chennai
Devikarani,IND,0,Post Graduate,30,"Rs 2,53,200 ~ 2 Lacs+",Rs 0 ~,Kolathur,Chennai
Divya,IND,0,Graduate Professional,30,"Rs 18,25,000 ~ 18 Lacs+","Rs 8,00,000 ~ 8 Lacs+",Kolathur,Chennai
Elumalai.K,Veerath Thiyagi Viswanathadoss Thozhilalarkal Katchi,0,Not Given,44,"Rs 16,05,500 ~ 16 Lacs+",Rs 0 ~,Kolathur,Chennai
F.Camilus Selva,Naam Tamilar Katchi,0,Graduate Professional,30,"Rs 18,63,735 ~ 18 Lacs+","Rs 3,62,373 ~ 3 Lacs+",Kolathur,Chennai
G.Velmurugan,SHS,0,5th Pass,40,"Rs 2,66,200 ~ 2 Lacs+","Rs 8,718 ~ 8 Thou+",Kolathur,Chennai
J.Arumugam,Amma Makkal Munnettra Kazagam,0,Graduate,54,"Rs 2,77,25,769 ~ 2 Crore+","Rs 1,15,92,533 ~ 1 Crore+",Kolathur,Chennai
J.Suriyamuthu,IND,0,10th Pass,46,"Rs 10,189 ~ 10 Thou+",Rs 0 ~,Kolathur,Chennai
K. Pannerselvam,IND,0,10th Pass,38,"Rs 1,87,000 ~ 1 Lacs+",Rs 0 ~,Kolathur,Chennai
L.Kathiresan,IND,0,Post Graduate,48,"Rs 17,78,032 ~ 17 Lacs+",Rs 0 ~,Kolathur,Chennai
M.A.S. Senthil Kumar,IND,0,8th Pass,43,"Rs 5,47,000 ~ 5 Lacs+","Rs 6,50,000 ~ 6 Lacs+",Kolathur,Chennai
M.K. Stalin,DMK,47,Graduate,68,"Rs 8,88,75,339 ~ 8 Crore+",Rs 0 ~,Kolathur,Chennai
M.Rajendran,National Democratic Party (Indian),0,Graduate,46,"Rs 5,68,800 ~ 5 Lacs+","Rs 3,95,000 ~ 3 Lacs+",Kolathur,Chennai
Malarvizhi,IND,0,Post Graduate,30,"Rs 9,79,868 ~ 9 Lacs+","Rs 3,00,000 ~ 3 Lacs+",Kolathur,Chennai
Mirza Safdar Ali,IND,0,8th Pass,43,"Rs 3,27,000 ~ 3 Lacs+",Rs 0 ~,Kolathur,Chennai
Mjs.Jamal Mohamed Meera,BSP,0,5th Pass,39,"Rs 1,52,010 ~ 1 Lacs+",Rs 0 ~,Kolathur,Chennai
Nirmala Devi,IND,0,12th Pass,30,"Rs 1,99,000 ~ 1 Lacs+",Rs 0 ~,Kolathur,Chennai
P.Harishkumar,IND,0,Graduate Professional,28,"Rs 1,81,700 ~ 1 Lacs+",Rs 0 ~,Kolathur,Chennai
P.Senthil Kumar,IND,0,Graduate Professional,39,"Rs 3,81,500 ~ 3 Lacs+",Rs 0 ~,Kolathur,Chennai
R.Selvam,IND,0,Graduate Professional,42,"Rs 5,81,500 ~ 5 Lacs+","Rs 4,00,000 ~ 4 Lacs+",Kolathur,Chennai
Rama Devi,IND,0,8th Pass,33,"Rs 1,72,000 ~ 1 Lacs+",Rs 0 ~,Kolathur,Chennai
S.Sureshkumar,Makkalatchi Katchi,2,Graduate Professional,37,"Rs 95,000 ~ 95 Thou+","Rs 3,66,700 ~ 3 Lacs+",Kolathur,Chennai
Sathiyaseelan,IND,0,Post Graduate,39,"Rs 9,79,868 ~ 9 Lacs+",Rs 0 ~,Kolathur,Chennai
Suresh,Tamil Nadu Ilangyar Katchi,0,10th Pass,36,"Rs 17,10,782 ~ 17 Lacs+","Rs 8,98,368 ~ 8 Lacs+",Kolathur,Chennai
V.Sureshkumar,IND,0,10th Pass,49,"Rs 81,70,000 ~ 81 Lacs+","Rs 21,65,000 ~ 21 Lacs+",Kolathur,Chennai
Vivekraj.J,Thamizhaga Munnetra Congress,5,8th Pass,31,"Rs 10,000 ~ 10 Thou+",Rs 0 ~,Kolathur,Chennai
A . Ajith Kumar,IND,0,Post Graduate,26,"Rs 26,18,977 ~ 26 Lacs+","Rs 6,99,910 ~ 6 Lacs+",Villivakkam,Chennai
A . Vetriazhagan,DMK,0,Post Graduate,42,"Rs 23,27,62,681 ~ 23 Crore+","Rs 5,00,34,617 ~ 5 Crore+",Villivakkam,Chennai
A.Palanivel,BSP,0,5th Pass,48,"Rs 1,80,000 ~ 1 Lacs+",Rs 0 ~,Villivakkam,Chennai
A.S.Kumar,IND,0,8th Pass,64,"Rs 2,38,555 ~ 2 Lacs+",Rs 0 ~,Villivakkam,Chennai
C.A.Ashok Kumar,IND,0,Post Graduate,50,"Rs 3,35,86,597 ~ 3 Crore+","Rs 98,90,000 ~ 98 Lacs+",Villivakkam,Chennai
C.Mohan,IND,0,8th Pass,58,"Rs 12,564 ~ 12 Thou+",Rs 0 ~,Villivakkam,Chennai
C.Raghul,IND,0,10th Pass,29,"Rs 2,33,000 ~ 2 Lacs+",Rs 0 ~,Villivakkam,Chennai
D.Subamangalam,DMDK,0,10th Pass,42,"Rs 16,73,000 ~ 16 Lacs+",Rs 0 ~,Villivakkam,Chennai
G. Devapriyan,IND,0,Graduate Professional,44,"Rs 11,500 ~ 11 Thou+",Rs 0 ~,Villivakkam,Chennai
G.Iyanar,IND,0,Graduate Professional,46,"Rs 3,79,800 ~ 3 Lacs+",Rs 0 ~,Villivakkam,Chennai
J.C.D.Prabhakar,AIADMK,0,Graduate Professional,68,"Rs 14,13,33,339 ~ 14 Crore+","Rs 1,45,000 ~ 1 Lacs+",Villivakkam,Chennai
Jagadesh Jayakumar,Valamaana Tamizhagam Katchi,0,12th Pass,41,"Rs 17,500 ~ 17 Thou+","Rs 1,00,000 ~ 1 Lacs+",Villivakkam,Chennai
L.Govindaraj,Nam India Naam Indiyar Katchi,0,Graduate Professional,40,"Rs 58,45,000 ~ 58 Lacs+","Rs 53,00,000 ~ 53 Lacs+",Villivakkam,Chennai
M .Jalal,IND,0,8th Pass,40,"Rs 12,000 ~ 12 Thou+",Rs 0 ~,Villivakkam,Chennai
M.Gunasekaran,IND,0,Post Graduate,59,"Rs 1,75,000 ~ 1 Lacs+",Rs 0 ~,Villivakkam,Chennai
M.Murali Vinodh,IND,1,Graduate Professional,38,"Rs 10,14,099 ~ 10 Lacs+",Rs 0 ~,Villivakkam,Chennai
R.Sridar,Naam Tamilar Katchi,0,Graduate Professional,49,"Rs 81,04,434 ~ 81 Lacs+",Rs 0 ~,Villivakkam,Chennai
S. Raju Bharathi,Desiya Makkal Sakthi Katchi,0,Graduate,63,"Rs 1,80,695 ~ 1 Lacs+",Rs 0 ~,Villivakkam,Chennai
S.Baskar,IND,3,5th Pass,32,"Rs 3,42,000 ~ 3 Lacs+",Rs 0 ~,Villivakkam,Chennai
S.Chandrika,IND,0,Post Graduate,51,"Rs 1,92,000 ~ 1 Lacs+",Rs 0 ~,Villivakkam,Chennai
S.Kandasamy,IND,0,10th Pass,56,"Rs 70,000 ~ 70 Thou+",Rs 0 ~,Villivakkam,Chennai
Sriharan,Makkal Needhi Maiam,0,Graduate Professional,30,"Rs 1,82,10,921 ~ 1 Crore+","Rs 44,87,398 ~ 44 Lacs+",Villivakkam,Chennai
Syed Rayhan,IND,0,Graduate Professional,50,"Rs 34,92,000 ~ 34 Lacs+","Rs 2,46,000 ~ 2 Lacs+",Villivakkam,Chennai
Bagavath Singh.M,BSP,0,8th Pass,60,"Rs 1,97,000 ~ 1 Lacs+",Rs 0 ~,Nagar Sc),Chennai
Birlabose.M,IND,0,8th Pass,48,"Rs 31,81,963 ~ 31 Lacs+","Rs 20,000 ~ 20 Thou+",Nagar Sc),Chennai
Dr.R.Illavanji,Naam Tamilar Katchi,0,Graduate Professional,44,"Rs 27,83,946 ~ 27 Lacs+",Rs 0 ~,Nagar Sc),Chennai
Govindaraj.G,IND,0,5th Pass,60,"Rs 81,80,201 ~ 81 Lacs+","Rs 35,000 ~ 35 Thou+",Nagar Sc),Chennai
Kalyani.K,IND,0,Illiterate,43,"Rs 3,16,000 ~ 3 Lacs+",Rs 0 ~,Nagar Sc),Chennai
Kalyani.P.L,AIADMK,0,10th Pass,55,"Rs 70,66,341 ~ 70 Lacs+","Rs 25,00,000 ~ 25 Lacs+",Nagar Sc),Chennai
Kolanji.M,IND,0,Literate,49,"Rs 7,500 ~ 7 Thou+",Rs 0 ~,Nagar Sc),Chennai
Malathi.S,IND,0,5th Pass,36,"Rs 3,45,500 ~ 3 Lacs+",Rs 0 ~,Nagar Sc),Chennai
Obath.S,Makkal Needhi Maiam,0,Graduate Professional,31,"Rs 7,70,000 ~ 7 Lacs+",Rs 0 ~,Nagar Sc),Chennai
Prabhakaran.K,Makkalatchi Katchi,0,Post Graduate,37,"Rs 1,96,500 ~ 1 Lacs+","Rs 52,800 ~ 52 Thou+",Nagar Sc),Chennai
Premkumar.G,IND,0,10th Pass,42,"Rs 2,15,000 ~ 2 Lacs+",Rs 0 ~,Nagar Sc),Chennai
Ramesh Babu.M,IND,0,Graduate Professional,39,"Rs 2,43,456 ~ 2 Lacs+","Rs 1,20,000 ~ 1 Lacs+",Nagar Sc),Chennai
Ranganathan.M,IND,0,5th Pass,34,"Rs 4,87,500 ~ 4 Lacs+",Rs 0 ~,Nagar Sc),Chennai
Raviparaiyanar.D,RPI(A),0,10th Pass,44,"Rs 28,82,000 ~ 28 Lacs+","Rs 5,00,000 ~ 5 Lacs+",Nagar Sc),Chennai
S. Ravikumar,Republican Party of India (Sivaraj),0,5th Pass,39,"Rs 1,61,000 ~ 1 Lacs+",Rs 0 ~,Nagar Sc),Chennai
Santhanu.S,IND,0,Graduate Professional,33,"Rs 2,76,032 ~ 2 Lacs+","Rs 43,919 ~ 43 Thou+",Nagar Sc),Chennai
Sekar.E,IND,0,10th Pass,51,"Rs 88,821 ~ 88 Thou+","Rs 65,854 ~ 65 Thou+",Nagar Sc),Chennai
Sekar.M.P,DMDK,0,5th Pass,40,"Rs 33,79,000 ~ 33 Lacs+","Rs 30,000 ~ 30 Thou+",Nagar Sc),Chennai
Selvakumar.A,IND,0,Not Given,44,"Rs 12,72,825 ~ 12 Lacs+",Rs 0 ~,Nagar Sc),Chennai
Sihamani.G,IND,0,Graduate,51,"Rs 90,500 ~ 90 Thou+",Rs 0 ~,Nagar Sc),Chennai
Sivakumar.P,DMK,15,Post Graduate,55,"Rs 2,05,16,556 ~ 2 Crore+","Rs 43,12,266 ~ 43 Lacs+",Nagar Sc),Chennai
Sundar.G,IND,0,10th Pass,42,"Rs 1,85,000 ~ 1 Lacs+",Rs 0 ~,Nagar Sc),Chennai
Udaya Chandran .R,IND,0,10th Pass,27,"Rs 1,52,000 ~ 1 Lacs+",Rs 0 ~,Nagar Sc),Chennai
A.Paranthaman,IND,0,Post Graduate,36,"Rs 93,000 ~ 93 Thou+",Rs 0 ~,Egmore Sc),Chennai
B.John Pandian,AIADMK,2,Post Graduate,65,"Rs 11,73,86,865 ~ 11 Crore+","Rs 10,18,469 ~ 10 Lacs+",Egmore Sc),Chennai
Dr.N. Gunasekar,IND,1,Graduate Professional,31,"Rs 4,64,000 ~ 4 Lacs+",Rs 0 ~,Egmore Sc),Chennai
G.R.Rajendran,IND,0,10th Pass,26,"Rs 65,200 ~ 65 Thou+",Rs 0 ~,Egmore Sc),Chennai
G.Sheeja,Nam India Naam Indiyar Katchi,0,Graduate Professional,39,"Rs 54,35,500 ~ 54 Lacs+","Rs 53,00,000 ~ 53 Lacs+",Egmore Sc),Chennai
I.Paranthamen,DMK,0,Graduate Professional,44,"Rs 1,12,46,806 ~ 1 Crore+",Rs 0 ~,Egmore Sc),Chennai
J.Chandrakala,LJP,0,12th Pass,42,"Rs 91,001 ~ 91 Thou+",Rs 0 ~,Egmore Sc),Chennai
K.P.Sundaraprathaban,BSP,0,8th Pass,74,"Rs 1,45,500 ~ 1 Lacs+",Rs 0 ~,Egmore Sc),Chennai
M.Uthayakumar,IND,0,Graduate Professional,41,"Rs 90,000 ~ 90 Thou+",Rs 0 ~,Egmore Sc),Chennai
N.Aravinth Kumar,IND,0,Others,29,"Rs 1,05,000 ~ 1 Lacs+",Rs 0 ~,Egmore Sc),Chennai
P.Geetha Lakshmi,Naam Tamilar Katchi,0,Graduate Professional,38,"Rs 2,41,500 ~ 2 Lacs+",Rs 0 ~,Egmore Sc),Chennai
R.Revanth,Anaithu Makkal Arasiyal Katchi,0,Others,26,"Rs 8,96,500 ~ 8 Lacs+","Rs 6,64,000 ~ 6 Lacs+",Egmore Sc),Chennai
S.Jayakalpana,IND,0,8th Pass,50,"Rs 3,96,000 ~ 3 Lacs+",Rs 0 ~,Egmore Sc),Chennai
T.Prabhu,DMDK,0,Graduate,40,"Rs 3,30,800 ~ 3 Lacs+",Rs 0 ~,Egmore Sc),Chennai
U. Priyadarsini,Makkal Needhi Maiam,0,Graduate Professional,33,"Rs 9,31,000 ~ 9 Lacs+","Rs 6,80,820 ~ 6 Lacs+",Egmore Sc),Chennai
V. Prabhu,IND,0,Graduate Professional,50,"Rs 31,52,542 ~ 31 Lacs+",Rs 0 ~,Egmore Sc),Chennai
V.Eswaran,IND,0,10th Pass,44,"Rs 55,000 ~ 55 Thou+",Rs 0 ~,Egmore Sc),Chennai
V.Sekar,IND,0,10th Pass,38,"Rs 68,000 ~ 68 Thou+",Rs 0 ~,Egmore Sc),Chennai
Babu Mailan . A,RPI(A),0,Others,49,"Rs 42,10,279 ~ 42 Lacs+","Rs 7,00,000 ~ 7 Lacs+",Dr.Radhakrishnan Nagar,Chennai
Boothirajan.G,IND,0,10th Pass,40,"Rs 95,46,625 ~ 95 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
Daniel Sachin Mani.E,IND,0,Graduate,38,"Rs 14,77,000 ~ 14 Lacs+",Rs 0 ~,Dr.Radhakrishnan Nagar,Chennai
